2026-03-14 22:48:51,850 | INFO | 82 games collected
2026-03-14 22:48:51,859 | INFO | 82 games collected
2026-03-14 22:48:55,851 | INFO | [67/90] Processing DAL 2025
2026-03-14 22:48:55,851 | INFO | Fetching DAL season 2025
2026-03-14 22:48:55,859 | INFO | [67/90] Processing DAL 2025
2026-03-14 22:48:55,859 | INFO | Fetching DAL season 2025
2026-03-14 22:48:56,051 | INFO | 82 games collected
2026-03-14 22:48:56,063 | INFO | 82 games collected
2026-03-14 22:49:00,052 | INFO | [68/90] Processing DEN 2025
2026-03-14 22:49:00,052 | INFO | Fetching DEN season 2025
2026-03-14 22:49:00,064 | INFO | [68/90] Processing DEN 2025
2026-03-14 22:49:00,064 | INFO | Fetching DEN season 2025
2026-03-14 22:49:00,354 | INFO | 82 games collected
2026-03-14 22:49:00,366 | INFO | 82 games collected
2026-03-14 22:49:04,355 | INFO | [69/90] Processing DET 2025
2026-03-14 22:49:04,355 | INFO | Fetching DET season 2025
2026-03-14 22:49:04,366 | INFO | [69/90] Processing DET 2025
2026-03-14 22:49:04,367 | INFO | Fetching DET season 2025
2026-03-14 22:49:04,598 | INFO | 82 games collected
2026-03-14 22:49:04,602 | INFO | 82 games collected
2026-03-14 22:49:08,599 | INFO | [70/90] Processing GSW 2025
2026-03-14 22:49:08,599 | INFO | Fetching GSW season 2025
2026-03-14 22:49:08,603 | INFO | [70/90] Processing GSW 2025
2026-03-14 22:49:08,603 | INFO | Fetching GSW season 2025
2026-03-14 22:49:09,461 | INFO | 82 games collected
2026-03-14 22:49:09,465 | INFO | 82 games collected
2026-03-14 22:49:13,462 | INFO | [71/90] Processing HOU 2025
2026-03-14 22:49:13,462 | INFO | Fetching HOU season 2025
2026-03-14 22:49:13,465 | INFO | [71/90] Processing HOU 2025
2026-03-14 22:49:13,465 | INFO | Fetching HOU season 2025
2026-03-14 22:49:13,695 | INFO | 82 games collected
2026-03-14 22:49:13,702 | INFO | 82 games collected
2026-03-14 22:49:17,696 | INFO | [72/90] Processing IND 2025
2026-03-14 22:49:17,696 | INFO | Fetching IND season 2025
2026-03-14 22:49:17,703 | INFO | [72/90] Processing IND 2025
2026-03-14 22:49:17,703 | INFO | Fetching IND season 2025
2026-03-14 22:49:18,021 | INFO | 82 games collected
2026-03-14 22:49:18,029 | INFO | 82 games collected
2026-03-14 22:49:22,022 | INFO | [73/90] Processing LAC 2025
2026-03-14 22:49:22,022 | INFO | Fetching LAC season 2025
2026-03-14 22:49:22,029 | INFO | [73/90] Processing LAC 2025
2026-03-14 22:49:22,029 | INFO | Fetching LAC season 2025
2026-03-14 22:49:22,238 | INFO | 82 games collected
2026-03-14 22:49:22,241 | INFO | 82 games collected
2026-03-14 22:49:26,239 | INFO | [74/90] Processing LAL 2025
2026-03-14 22:49:26,239 | INFO | Fetching LAL season 2025
2026-03-14 22:49:26,242 | INFO | [74/90] Processing LAL 2025
2026-03-14 22:49:26,242 | INFO | Fetching LAL season 2025
2026-03-14 22:49:26,492 | INFO | 82 games collected
2026-03-14 22:49:26,493 | INFO | 82 games collected
2026-03-14 22:49:30,492 | INFO | [75/90] Processing MEM 2025
2026-03-14 22:49:30,492 | INFO | Fetching MEM season 2025
2026-03-14 22:49:30,494 | INFO | [75/90] Processing MEM 2025
2026-03-14 22:49:30,494 | INFO | Fetching MEM season 2025
2026-03-14 22:49:30,714 | INFO | 82 games collected
2026-03-14 22:49:30,727 | INFO | 82 games collected
2026-03-14 22:49:34,715 | INFO | [76/90] Processing MIA 2025
2026-03-14 22:49:34,715 | INFO | Fetching MIA season 2025
